userName,score,at,content
warno Warno,5,2025-12-10 08:05:24,aplikasinya oke
Abdul Rohman,1,2025-12-10 07:54:52,kenapa tidak bisa login. selalu force close
Anton Sijaro Simin,5,2025-12-10 07:54:24,sangat mempermudah....
Sopan Sopian,4,2025-12-10 07:50:37,"JMO, sangat membantu"
Welgin,5,2025-12-10 07:41:14,mantappp sangat membantu pekerja
Andito Tri Handoko,5,2025-12-10 07:38:07,very good
sam ikrisnanto,5,2025-12-10 07:31:25,mudah dan praktis sangat membantu walaupun agak bingung menggunakannya.
PPG Indonesia,5,2025-12-10 07:27:18,alhamdulillah bisa konek
bintang jek,5,2025-12-10 07:26:07,"mantap lah cuyy, mau ngecek jadi gampang."
Yoga Pratama,5,2025-12-10 07:25:17,mantap
Inaya Samudra,5,2025-12-10 07:17:45,Bagus sangat membantu
Sudin Mahakam,5,2025-12-10 07:16:46,bagus aplikasi nya saya suka
Suloso 1980,5,2025-12-10 07:13:25,mantap
Muklis Aby,4,2025-12-10 07:10:37,sangat membantu
Kamu DanAku,5,2025-12-10 07:01:16,good aplikasi
Aldo Fadillah,5,2025-12-10 07:00:14,mantap
Kumbang Kelana,5,2025-12-10 06:56:43,mantap
Romando Musika,5,2025-12-10 06:56:10,Terimakasih atas pelayanannya.
Erwan Mulyana,5,2025-12-10 06:47:23,bagus
Indah Suyani,5,2025-12-10 06:44:19,sangat bagus & lancar 🙏🏻
Suhendri Hendri,1,2025-12-10 06:41:57,Lama kali pelayanan kalian Di jamsostek binjai. Cover sumbagut
darmantea mantea,5,2025-12-10 06:31:35,bagus pelayanan nya cepat
Nike Artika,5,2025-12-10 06:21:38,bagus
Wildan Indadurohman,5,2025-12-10 06:20:10,keren mantap sat set bgt
Bilqis saffa Nur kamila,5,2025-12-10 06:16:41,sangat membantu klaim JHT
Ikhlas_in Foods&drinks,5,2025-12-10 06:11:36,pelayanan prima
nisa gacha cute,5,2025-12-10 06:11:27,"sangat cepat praktis dan memudahkan, terima kasih JMO"
Blopy Bro,5,2025-12-10 06:05:18,apk sangat bagus
Hafidz Hasan,4,2025-12-10 06:04:20,mohon untuk di update kecepatannya
Izar Tamami,5,2025-12-10 06:01:03,mantap
Muhammad Asbullah,5,2025-12-10 06:00:26,"bagus, cukup bermanfaat"
Ardi tukan,5,2025-12-10 05:55:26,"Pelayanan untuk area Tobelo maluku utara sangat baik, Petugas pelayanan dan security sangat baik dan berkompeten🥰"
Agus Mulya,5,2025-12-10 05:48:12,ok
Mama rio,1,2025-12-10 05:47:11,"Saya dulu sering menggunakan JMO, tapi sekarang setelah saya Download kembali, JMO sering crash saat dibuka, langsung keluar, ga tau kenapa"
Muhammad Faisal,5,2025-12-10 05:44:20,sangat bermanfaat
Danu Widodo,5,2025-12-10 05:43:23,bagus
dwi cahyanti,5,2025-12-10 05:40:23,good
Erni Salwina,5,2025-12-10 05:37:36,sangat Membantu Sekali
Del 6,5,2025-12-10 05:25:57,saya senang
Nikolas Saputra,5,2025-12-10 05:25:55,wow
Andi Petrus,5,2025-12-10 05:23:33,menyalah Kaka
Indri Cirebon,5,2025-12-10 05:18:14,ini aku baru pertama kali pake aplikasi ini .. kata tmen aku ini itu suka gangguan jdi harus ke kantor .. takut bangt bermasalah soalnya kantor jarak nya jauh dri rumah . Eh alhamdulillah pas ngajuin langsung masuk rekening gx harus nunggu 3 hari . cuman 10 menit dri pengajuan ... Makasihh syudah mempermudah masyarakat yng jrak nya jauh dri perkotaan .
Dody Ardi,5,2025-12-10 05:17:22,bagus sekali aplikasinya
Nanang Setiawan,5,2025-12-10 05:09:49,sangat baik
meidian africo,5,2025-12-10 05:07:10,cepat
JOJOK SUPRIYADI,3,2025-12-10 05:04:13,update trus stiap mau buka
Hakim BLitz,5,2025-12-10 05:04:08,mantap
Adit Adit,5,2025-12-10 04:53:20,sangat membantu
Danang Fajar Setiawan,4,2025-12-10 04:53:13,cukup membantu
Rizad Octaviano,5,2025-12-10 04:51:50,ok
Billy Susanto,5,2025-12-10 04:51:08,sangat mempermudah tanpa harus tanya2 HRD hehe
Ferry Efendi,5,2025-12-10 04:34:39,bagus
Nini Limz,1,2025-12-10 04:29:03,aplikasi GK bisa sama sekali
Acen Yosie,5,2025-12-10 04:19:12,good
Adit Machmud,5,2025-12-10 04:19:07,bagus
Gancok,5,2025-12-10 04:18:55,mantap pokoknya pelayan ramah
Zadri Zadri,3,2025-12-10 04:18:26,Bagus
Umbu Emzon,5,2025-12-10 04:01:34,sangat bagus
Ziauddin Fikri,5,2025-12-10 04:01:14,Sangat puas
odix stya,5,2025-12-10 03:56:56,ok baik
Hilmi ahmad Zakka,1,2025-12-10 03:55:41,aplikasi membagongkan utk log in susah banget
aditya permana,5,2025-12-10 03:39:48,mantap
Hamdan Dan,5,2025-12-10 03:35:01,sangat mudah untuk kita lakukan
Andi Anti1992,5,2025-12-10 03:34:20,knp saya tdk bisa buka aplikasi jmo di hp sy
makhrus ali,5,2025-12-10 03:31:04,mantabz kaleee
Fikri Adam,5,2025-12-10 03:23:14,baik
Firmansyah Maulana,5,2025-12-10 03:20:29,sangat oke banget 👍
Tomy Byes,1,2025-12-10 03:18:19,"apk bosokk, banyak bug"
Rezkiya Ardian,5,2025-12-10 03:17:51,bagus
Krisna suta,5,2025-12-10 03:02:55,terbaikkk
Haris Ahmad,5,2025-12-10 03:02:28,puas
Rudiana ebreg,5,2025-12-10 03:01:54,nice
Hanni Giel,4,2025-12-10 03:00:15,Bagus
Regass Ngampell,4,2025-12-10 02:54:23,sangat bagus
Paskalis Abi,5,2025-12-10 02:53:26,good
Ghiran Maulidin,5,2025-12-10 02:45:01,terbaik
Ke Cik,5,2025-12-10 02:43:21,oke
Robert Ardy,5,2025-12-10 02:39:32,mantap
Dan Pasodung,5,2025-12-10 02:36:35,simpel dan mudah digunakan
Nur Fatimah,5,2025-12-10 02:35:46,ok mantap
djoko santoso,5,2025-12-10 02:26:43,Mantap
Mohamad Rizki Pratama,5,2025-12-10 02:20:41,aplikasi berfungsi dengan baik
Atin Wae,5,2025-12-10 02:13:05,sangat mudah diakses gak ribet thebest
Rusli Aja,4,2025-12-10 01:58:51,sangat tepat
Silva Pebriani,5,2025-12-10 01:57:51,mudah cairr
Eman Sulaeman,5,2025-12-10 01:56:39,mantul pisan
Febrianto97 Febrianto97,5,2025-12-10 01:55:54,bagus
Erlang Bustomi,5,2025-12-10 01:46:48,Ok
Kapamenan Menan,5,2025-12-10 01:45:29,trims bravo
Putri Nasari,5,2025-12-10 01:43:37,mantul
Yusrizal Sansino,5,2025-12-10 01:33:06,Ok sekali.
ADMN SSC SBY,5,2025-12-10 01:23:41,simple dan jelas untuk semua keperluannya jd sangat membantu skli
Adhy Lede,5,2025-12-10 01:16:26,terbaik
Aulia Fuad Rifai,5,2025-12-10 01:09:48,keren lah
Ariee cahyo,5,2025-12-10 01:08:37,mudah dan praktis
Jelmina Melati,5,2025-12-10 01:03:09,sangat bagus👍
Hendrawan Sulistyanto,4,2025-12-10 01:01:41,setelah update gabisa login. tolong segera perbaiki update: sudah bisa login
adammlydn29,5,2025-12-10 01:01:20,ok
ACHMAD ABDUL MAJID,5,2025-12-10 00:54:21,sangat membantu
Marqiza,5,2025-12-10 00:40:56,semoga jhtku cair
Dhe Mia,4,2025-12-10 00:23:29,terbaik
Yusuf Mulyadi,5,2025-12-10 00:22:29,sangat membantu
Mas Munib,5,2025-12-10 00:16:31,"aplikasi nya kok tidak sinkron ya, banyak yang tidak tertera,, saya bayar lewat E-walet sudah masuk tapi gak ada di riwayat iuran jmo,, dan yang bikin bingung saya selalu bayar 3 program termasuk jht, tapi di aplikasi ini saya tertera belum terdaftar di jht.. ini gimana sih??? ,, tolong perbaiki aplikasi ini, Sebaik-baik nya..."
rauf saikadiro78,5,2025-12-10 00:16:27,good trus tingkat kan pelayanan
Sihotang Situmorang,5,2025-12-10 00:07:36,"aplikasi ini sangat membantu, dan karena bisa lihat saldo yg tiap bulan bertambah, jadi buat kita tambah semangat kerja, dan tetap bertahan di kerjaan sekarang, agar saldo tiap bulan tambah terus, 🤭 anggap aja nabung yg jadi deposito, bonus dapat jaminan kesehatan love love banget deh pokok nya 😘"
Al Badali,5,2025-12-10 00:04:26,mantap
rasikh fakhrizals,5,2025-12-09 23:49:11,keren
Made Derizreydiv,4,2025-12-09 23:43:42,lumayan bagus informasi nya
Moh Sholihin,5,2025-12-09 23:39:42,bismillah semoga bermanfaat
yulita suwarsih,5,2025-12-09 23:35:31,"Semoga bisa slalu Membantu kami ,"
Tasimin Min,5,2025-12-09 23:22:54,sangat pembantu
Dedi Darison,5,2025-12-09 22:58:14,sangat membantu peserts
Dina Andyka,5,2025-12-09 22:07:11,mantap
Nanang Wahyudin,5,2025-12-09 21:51:05,Ok
Sutini Sutini,1,2025-12-09 21:28:32,tidak dapat mengakses jmo
MUH ICHSAN,3,2025-12-09 21:13:33,bagus
Wibowo Purnamaaji,4,2025-12-09 20:50:35,mantab
Ade Irawan,5,2025-12-09 19:39:50,bermanfaat dan mudah untuk di akses
Amad Rockers,1,2025-12-09 18:33:33,kebanyakan update malah gabisa di buka sekarang parah JMO
Jen Satrio,5,2025-12-09 18:28:29,layanan cepat dan mudah
Dino Trisno,5,2025-12-09 17:13:23,i like
Aep Saefudin,5,2025-12-09 16:51:37,sangat memudahkan dan pengecekan terutama cek saldo JHT
labib Ibar,5,2025-12-09 16:46:16,Top markotop👍
006_ Sukiman,5,2025-12-09 16:39:43,sangat memuaskan
aLaNkR 93,5,2025-12-09 16:35:03,"gagal pinjam di dana siaga, saran dan solusi"
Masdi Benediktus,5,2025-12-09 16:23:36,terbaik
Arifin Ifin,5,2025-12-09 16:04:49,sangat Bermanfaat
014 ihsan,5,2025-12-09 15:49:08,ok
Dede Koswara Dede,5,2025-12-09 15:41:42,sangat membantu sekali
Ahmad M,4,2025-12-09 15:31:43,mantap
Arie PB,5,2025-12-09 15:24:43,bisa cek JHT secara berkala dalam 1 bulan sekali
Yadi 098,5,2025-12-09 15:14:06,bgus
Suterisno -,5,2025-12-09 14:48:31,sangat bermanfaat aplikasi JMO.. lebih praktis
Aldian,5,2025-12-09 14:34:09,jos
Adi,5,2025-12-09 14:34:04,Bagus ...mudah dan cepat.Oertahankan dan terus tingkatkan
yana soetrisna,1,2025-12-09 14:23:07,laporan pengaduan gabisa
Ronald Irawan,5,2025-12-09 14:19:37,best
Sugeng Prayitno,5,2025-12-09 14:08:05,oke trimakaih jimo
Jimi,5,2025-12-09 13:58:45,bagus
Najmudin Najmudin,5,2025-12-09 13:45:33,sanggat bagus dan mudah di gunakan
Nurevianti Evi,5,2025-12-09 13:37:38,mantap
Medi Casmedi,5,2025-12-09 13:25:34,mantap
Ramadan Ref,1,2025-12-09 13:07:51,Susah daftarnya..udah di daftarin perusahaan tpi kok d suru byr lg.. Kan udh d byr perusahaan tiap bulan
Solihun,5,2025-12-09 13:04:18,"nice can check saldo fastly, and monitor..... tku"
Hartanto Hartanto,5,2025-12-09 12:59:46,sangat membantu sekali
Imam Muslim,5,2025-12-09 12:52:05,bagus
Mazz Aryo,5,2025-12-09 12:35:28,oke
Teguh Rahayu,5,2025-12-09 12:18:24,aplikasi ini sangat membatu masyarakat
Sunardi Sunardi,5,2025-12-09 12:17:16,sangat membantu
encep dongkol,5,2025-12-09 12:14:51,simpel
Herman Gultom,5,2025-12-09 12:14:23,Apk yang cukup membantu
Levani Vani,5,2025-12-09 12:03:30,mantap
Zainal Abdul sholeh,5,2025-12-09 12:00:39,senang
Icuk Julianto,5,2025-12-09 11:57:25,mantapp sangat membantu
Ali Wahyuni eli,5,2025-12-09 11:55:50,proses mudah
verina lutfiyah,5,2025-12-09 11:55:16,bagus
edi hartono,5,2025-12-09 11:53:37,bagus
Feri priyanto,5,2025-12-09 11:41:10,cukup baik
Andi Aswan,5,2025-12-09 11:38:25,mantap
Rama Yanti,5,2025-12-09 11:36:29,👍❤️
Hendra Pratomo,5,2025-12-09 11:33:42,sangat mmbantu cek saldo berkala
Akil Akil,5,2025-12-09 11:32:29,sangat bermanfaat
Joniez F1,5,2025-12-09 11:30:33,ok
Wina Widaningsih,5,2025-12-09 11:30:10,baguss sangat membantu
naufal afkar03,5,2025-12-09 11:26:57,bagus kali
Ryan Saputra,1,2025-12-09 11:22:04,ga bisa login
arif yulyadi,5,2025-12-09 11:14:04,bagus
Ky Ageng420,5,2025-12-09 11:10:56,sangat baik
SAEPUL YUSUP,1,2025-12-09 11:07:16,"klaim jht lama, cuman koreksi nama ibu kandung aja udah 1 bulan blm beres2.. tolong lah sistem nya diperbaiki #areacianjursawahgede"
dedy aryanto,5,2025-12-09 11:06:52,mantap login dan daftar mudah
Jun didit,5,2025-12-09 11:04:09,kenapa total saldo dan rincian saldo berbeda
Aji Farian,5,2025-12-09 10:57:04,Mudah dan Praktis
Agus Nurniawan,5,2025-12-09 10:52:24,bagis
Mikael “Kael” Saja,5,2025-12-09 10:44:28,sangat membantu
Ngabdurrochman Sidik,5,2025-12-09 10:41:26,sangat membantu
Mauren Rizky,3,2025-12-09 10:37:08,Lebih ke kecewa sama BPJS nya Krn JHT saya kepesertaan lama tiba2 cair dan cairnya ga di rek saya SBG pemilik akun
A19_Yigalgefin kadang1005,1,2025-12-09 10:31:57,"aplikasi ga guna, gabisa pengkinian data, perbaiki dulu aplikasimu ga usah sok sok nampung data orang, minimal perbaiki pelayanan aplikasimu, katanya memudahkan, malahan menyulitkan.. shame on you!"
Rizky Nain,3,2025-12-09 10:29:51,kenapa di HP saya tidak bisa dibuka/ terpental keluar aplikasi.
Muhammad Revandy,5,2025-12-09 10:24:12,mantap
Risman Hidayat Suherman,5,2025-12-09 10:19:15,mantaap
Muhamad Muhajirin,5,2025-12-09 10:18:02,pelayanan baik
Oganteng Oganteng,5,2025-12-09 10:08:52,good
abah jero,1,2025-12-09 10:06:34,parah jmo masa udh d update ga bisa d buka
Gugah Purbo Prasetio,5,2025-12-09 10:05:54,top
Rizqi Arsyil Majid,5,2025-12-09 10:04:29,mudah dan tidak ribet
Fikri lukmanul Khakim SL.05,4,2025-12-09 09:59:12,good
Ari Kurniawan,5,2025-12-09 09:46:05,bpjs ketenagakerjaan memang yg terbaik
Suryanto Kentho,1,2025-12-09 09:41:59,diupdate malah gak bisa dibuka
Wahyu Ramadan,5,2025-12-09 09:39:57,terbaik
Purnomo,5,2025-12-09 09:37:06,maaf kalau kita ambil 10 persen apa ada potongan pajak saat pengambilan jhy. berapa persen terimakasih.
Uus Suherman,5,2025-12-09 09:36:46,"JMO aplikasi keren, pelayanan yang memuaskan.👍"
Fadli,5,2025-12-09 09:34:14,bagus
Yumna Humairaputri,4,2025-12-09 09:30:57,hebat
Ahmad Sahrowi,5,2025-12-09 09:24:30,bagus
Novi Lisdanoviani,5,2025-12-09 09:22:37,sangat membantu sekali
Lalu Mustakim,5,2025-12-09 09:12:13,sukses
Odih muladinur,4,2025-12-09 09:08:30,trimakasih jmo
Aloh. S Aloh.S,5,2025-12-09 08:57:10,bagus
Dhani Rahmat,5,2025-12-09 08:53:30,cepat tanggap
Samum Hari,5,2025-12-09 08:49:28,membantu untuk mengetahui tabungan kita mantab
nanik wilujeng,5,2025-12-09 08:44:26,Oke
Izhar Baswara,5,2025-12-09 08:43:47,Good
kadek sriasih,5,2025-12-09 08:43:43,"aplikasinya sangat bagus, gampang diakses"
Idaw_Lpg,5,2025-12-09 08:33:23,nice
Dimas Musa,1,2025-12-09 08:33:11,Parah...apk force close terus
Azzahra20,5,2025-12-09 08:28:22,bagus sangat membantu
Dul Kenyot,5,2025-12-09 08:27:33,mantap
Udini Udiniati,5,2025-12-09 08:23:12,terimakasih atas kemudahan nya
Lala Makkerre,5,2025-12-09 08:17:56,bagus
mohammad irsal,5,2025-12-09 08:14:10,good
Vincen Keitimu,5,2025-12-09 08:11:58,good
yudha java,5,2025-12-09 08:11:07,Recommend
Nafi Eshan,4,2025-12-09 08:07:53,"aplikasi nya bagus capat,Tampa ribet? tapi sayang nya?saya harus datang ke kantor cabang karena? terblokir Poto biometrik,tidak bisa di buka secara onlen?"
hendi rohendi,5,2025-12-09 08:07:10,mantul
Perinde Santosa,1,2025-12-09 07:59:26,nggak bisa dibuka
Indra Revan,5,2025-12-09 07:56:23,Mudah di gunakan
Pieter Balubun,5,2025-12-09 07:55:16,bagus
085814242640 One,5,2025-12-09 07:51:05,sangat membantu dan praktis untuk digunakan
Rolandie Lebang,5,2025-12-09 07:45:02,Good apl
Budi Haryawan,5,2025-12-09 07:45:00,Mantap
Angela Natania,5,2025-12-09 07:44:03,terima kasih
Glaysius Menli,5,2025-12-09 07:42:35,membantu dan mempermudah
andyka Rakhmana sucyono,5,2025-12-09 07:37:42,keren
Tata Ramadhan,5,2025-12-09 07:33:44,Puas
Adi Adi,5,2025-12-09 07:33:28,ok Bange
Berry Saputra,5,2025-12-09 07:28:34,"terimakasih atas pelayanan yang bagus cepat,ringkas,, terimakasih Aplikasi jht"
Emanuel Lantung,5,2025-12-09 07:26:43,sangat memuaskan
Viktor Lase,5,2025-12-09 07:25:57,sangat bermanfaat
Rifqi Rofiansyah,5,2025-12-09 07:23:01,ok
Rhamdani Dani,5,2025-12-09 07:22:19,sangat membantu
Sampurno,3,2025-12-09 07:20:58,butuh perbaikan lagi
aripin 17,5,2025-12-09 07:19:56,bagus banget aplikasi nya
bondan wahyu nirboyo,5,2025-12-09 07:16:46,Mantap
Dara Iknawati,5,2025-12-09 07:08:34,dimudahkan
Sugeng Haryadi,5,2025-12-09 07:07:42,alhamdulilah sangat bagus
elfrida manurung,5,2025-12-09 07:06:02,bagus
Roby Hantama,5,2025-12-09 07:05:41,membantu
Laura Elma Mazea,5,2025-12-09 06:59:49,Aplikasi JMO sangat memudahkan
Ridwan,5,2025-12-09 06:57:13,bagus
Putra Mahkota,5,2025-12-09 06:53:13,Good job
Ajit Warsito,5,2025-12-09 06:50:43,sngat membantu
m apip,5,2025-12-09 06:46:57,mantap
Putra Selonk,5,2025-12-09 06:37:48,Alhamdulillah terimakasih JMO aplikasi ini sangat membantu sekali dan sangat bermanfaat.
Chici Otoluwa,5,2025-12-09 06:22:45,senang bisa menggunakan jmo
Mas Ud,5,2025-12-09 06:18:04,bagus
Jonas Afrian II,5,2025-12-09 06:11:44,selalu baik
Erick Erick,5,2025-12-09 06:07:48,jmo sangat membantu
Sinar Jabar,5,2025-12-09 06:02:02,sangat memuaskan
Lasikun Lasikun,5,2025-12-09 06:00:43,ok
jul kifli,5,2025-12-09 06:00:23,mntap
James Dephary,5,2025-12-09 06:00:15,Toppp
Kristina Yenny,5,2025-12-09 05:57:45,jelas informasinya.semoga dengan ada JMO ini para pekerja semakin di perhatikan
Davi Akjn,5,2025-12-09 05:54:09,keren banget aplikasinya
Aji Zendra,5,2025-12-09 05:53:14,proses pencairan cepet
Putra Pratama,1,2025-12-09 05:50:28,aplikasi jelek selalu lelet padehal sinyal dan wifi bagus dasar menyusahkan orang aja
Bangun Utomo,5,2025-12-09 05:43:26,good
Aska Dhosa,5,2025-12-09 05:34:57,bagus
Shafira Marwah vidita,4,2025-12-09 05:34:11,sangat membantu mempermudah
Luky susanto,5,2025-12-09 05:27:40,jos jis👍
Otniel Olaf,5,2025-12-09 05:24:49,mantap
Muri Dianto,5,2025-12-09 05:22:51,sangat membantu
Dimas Wae,5,2025-12-09 05:22:43,sangat membantu
Lek anto Lelek,5,2025-12-09 05:22:31,cukup baik
Junaeddi28,5,2025-12-09 05:10:41,pelayanan sangat bagus dan akurat
Day Day,5,2025-12-09 05:07:51,kemanan yang bagus
Ghofur Owa,5,2025-12-09 05:07:14,sangat puas
Hendrik Setiawan,2,2025-12-09 05:05:17,aplikasi sering keluar dan tidak dapat di gunakan.tolong penjelasannya
Halawa eli,5,2025-12-09 04:59:28,mantap
Handoyoputu Wijoyo,5,2025-12-09 04:58:05,baik
EFAN PANTUR,5,2025-12-09 04:56:14,sangat mudah di gunakan
Nafiez GaminG,5,2025-12-09 04:55:24,ok mantap
Ina Susanti,5,2025-12-09 04:52:38,aplikasi mantap
Widiantoro Satrio,1,2025-12-09 04:52:13,aplikasi jelek👎 mental trus
Kang Firdi Railfans,4,2025-12-09 04:47:16,good
Petrus Aris Gonjales Sipahutar,5,2025-12-09 04:40:51,oke
Idra Cair,5,2025-12-09 04:39:09,baik
Vika Hargi safitri,5,2025-12-09 04:37:22,"sangat membantu,tolong jangan di upgrade melulu,mksih"
arzila zila,5,2025-12-09 04:34:42,sangat membantu
Jabot City,5,2025-12-09 04:29:51,bagus
triwanto rmdhan,4,2025-12-09 04:23:21,bermanfaat
Indra Abdullah,5,2025-12-09 04:23:03,sangat membantu untuk pencairan
Agung sakti wibowo,5,2025-12-09 04:22:15,salah satu aplikasi pemerintah yang berguna dan berfungsi dengan baik
Yandi ndi,5,2025-12-09 04:10:05,mantap dn simpel
FLY Official,5,2025-12-09 04:09:46,terbaik
Rohadi firmansyah,5,2025-12-09 04:08:20,bagus
Ulla,4,2025-12-09 03:58:41,luar biasa
Andry Dewe,5,2025-12-09 03:57:55,ok
Novi,5,2025-12-09 03:56:20,biar bintang yg bicara
soim makmun,5,2025-12-09 03:55:42,cepat sangat membantu
